id;libele;description;validite;image_couverture;id_organisation
1;Checking Account responsive;Configuration markets interactive;Checking Account systems quantifying;Guatemala;48267
2;Handcrafted Oklahoma;Baby;Personal Loan Account Avon;Gabon Consultant;89086
3;Papua New Guinea Knoll;card haptic Avon;online Granite Balanced;repurpose;41471
4;Usability Legacy;bypass Iowa Liaison;intangible bandwidth;quantifying Forward;94397
5;model;Maryland auxiliary Cotton;magnetic Handcrafted;deposit Persevering Fully-configurable;76089
6;District Tunisia;open-source;transmitting cross-platform Forges;bypassing Cotton;36994
7;back-end;reboot;Principal;Ameliorated Grocery mobile;96848
8;Kwanza Investment Account;Legacy quantify robust;Borders Minnesota;orange tertiary;36044
9;Senior Rustic;input Chips;budgetary management;Dynamic;85803
10;Rubber Intuitive;Self-enabling Outdoors driver;CFA Franc BEAC;FTP;5331
