id;libele;description;image_couverture;fichier_cours
1;Forward Personal Loan Account;upward-trending silver Mews;Investor Toys Fantastic Cotton Pizza;Wisconsin Liaison
2;Profound;Mouse Shirt;Vista calculate Malagasy Ariary;Ball Associate District
3;redundant Producer;schemas Avon;Identity Shoes Brazilian Real;synergistic mission-critical Avon
4;EXE Incredible;Handcrafted Unbranded;Communications Tasty;Nebraska Multi-lateral
5;Well monetize;XML array;virtual;reinvent
6;microchip;Awesome Fresh Pizza bluetooth;Michigan;systems withdrawal Garden
7;Metal Cotton;enable Books Wooden;XML hybrid Granite;Buckinghamshire Metal
8;Representative Borders Berkshire;interface contingency;intuitive Ethiopia platforms;Fantastic Plastic Towels Concrete Bahamian Dollar
9;Savings Account pink Versatile;SAS Wooden;sensor;open-source streamline
10;Investor;Personal Loan Account;reinvent Ergonomic Wooden Ball;platforms Checking Account eco-centric
