id;lieu;note;id_user;date_evaluation
1;Lithuania;2216;31539;2020-07-01T03:39:38
2;Sausages Berkshire;89194;48576;2020-06-30T22:02:02
3;cross-platform payment;21095;63747;2020-07-01T03:47:49
4;Proactive;13130;92334;2020-07-01T04:30:25
5;Legacy;87092;94277;2020-07-01T03:46:32
6;Security;41721;14035;2020-06-30T20:05:48
7;port robust;32256;87332;2020-07-01T04:38:01
8;reciprocal Fantastic;46227;15091;2020-07-01T01:33:27
9;cross-media innovate parsing;78872;49352;2020-06-30T23:14:08
10;index reboot plum;57163;10499;2020-06-30T15:14:14
