id;libele;id_chapitre;description;image_couverture;point;is_actif
1;Brand;69835;Kiribati Operations Markets;United States of America;76624;true
2;violet;28874;Plastic HDD Granite;Investment Account protocol Ergonomic;64017;true
3;Surinam Dollar interface focus group;91727;convergence;Mouse sensor Ergonomic Concrete Chips;5138;false
4;Borders Response pink;66553;maroon Industrial;withdrawal;81324;true
5;infrastructure transmit;27457;Representative;Awesome CSS;76480;false
6;web-readiness best-of-breed wireless;20400;Congolese Franc back up;CSS;876;true
7;Credit Card Account Way;8639;payment USB payment;metrics;57135;false
8;1080p;53020;withdrawal Handmade;Keyboard Serbian Dinar;27106;false
9;yellow;41930;International De-engineered;mint green compress;21668;false
10;functionalities Gloves Specialist;38991;Washington Bike;system;98199;true
