id;libele;code;image_couverture;description;correct_answer;point
1;Cotton calculating standardization;tan;Markets;Pa'anga;true;93167
2;Technician Skyway auxiliary;system engine infomediaries innovative;incubate;Cambridgeshire;false;90788
3;Buckinghamshire;Tasty Fresh Chair Investment Account;plum yellow;JBOD Checking Account United Kingdom;true;29787
4;reboot Planner;Louisiana payment Tools;Soft;program Senegal Corporate;false;59223
5;deposit online backing up;Shoes;Soft initiatives user-facing;Home Loan Account FTP Berkshire;true;70897
6;Concrete CFP Franc quantify;Ergonomic Distributed;protocol innovate cross-platform;wireless multimedia;true;30402
7;AGP Savings Account enable;Plastic open-source;Refined Response deposit;monitor Interactions;true;1128
8;Trafficway Towels;bifurcated Maine proactive;Uzbekistan Sum Home Table;Home Loan Account Afghani feed;true;40305
9;microchip PCI;Intelligent Dominican Peso Direct;United Arab Emirates;Developer ivory;false;35675
10;Brand Legacy;capacitor;metrics matrices;microchip;true;8599
