id;libele;description;image_couverture;code
1;blue Views;azure;hard drive Movies solid state;Money Market Account red
2;Cheese Checking Account Light;navigating;vertical Botswana USB;implement
3;Nicaragua override Usability;Cotton 1080p;Sleek leverage Bahamian Dollar;Toys
4;GB out-of-the-box Usability;Optional SCSI Applications;encoding hack generating;productize
5;application Keyboard Nebraska;program panel generate;program Soft;Solomon Islands Dollar auxiliary Mississippi
6;cyan Dynamic enterprise;Kuwait Personal Loan Account;Ball;Buckinghamshire
7;index Director Costa Rican Colon;Cambridgeshire;violet;Response
8;Fantastic;CFP Franc mint green cyan;Legacy Concrete Norfolk Island;Texas Supervisor
9;Sleek withdrawal synergistic;functionalities;optical deliverables;reboot
10;payment;digital Gateway;Credit Card Account enhance Investment Account;Gorgeous initiatives eyeballs
