id;titre;sous_titre;details;date_notif;code;type_notification
1;Rustic bleeding-edge;green 1080p Metal;USB;2020-06-30T19:40:15;purple Shores transmitting;PUSH
2;North Dakota;Directives payment bluetooth;Yen District;2020-07-01T08:20:15;calculate Administrator Practical;PUSH
3;Table stable asymmetric;Graphical User Interface;withdrawal compressing Unbranded Wooden Salad;2020-06-30T12:14:14;Investment Account Health;MAIL
4;metrics client-server;multi-byte Usability;Jewelery;2020-06-30T15:02:34;Spur Gorgeous Steel Bacon;SMS
5;Spring wireless Engineer;Kenya back up;withdrawal Pataca Checking Account;2020-06-30T23:00:34;Buckinghamshire Licensed;MAIL
6;Cambridgeshire Investor customized;withdrawal Barbados;European Monetary Unit (E.M.U.-6) cross-platform;2020-06-30T15:09:49;Kwanza bandwidth-monitored Saint Barthelemy;SMS
7;navigate Shoes;quantify;Chips Avon AGP;2020-06-30T17:33:03;Open-source networks;MAIL
8;partnerships;integrate;port;2020-06-30T15:51:02;Tasty models Salad;MAIL
9;compress;Directives;Tennessee visualize;2020-07-01T05:11:12;real-time violet Afghani;MAIL
10;Markets;Dominican Peso;sensor;2020-06-30T17:07:53;Ergonomic Shirt Buckinghamshire;MAIL
