id;type;id_matiere;entete;description;libele;image_couverture;duree;nbr_question;date_publication;date_expiration
1;back-end infrastructure emulation;78358;compressing;Outdoors;Falls;Practical Fresh Keyboard Senegal;2020-07-01T08:04:33;30480;2020-06-30T14:02:03;2020-07-01T04:50:04
2;SDD;69015;Garden Future;Hryvnia Hollow;compressing;reboot Personal Loan Account transition;2020-07-01T03:19:16;82756;2020-06-30T14:01:56;2020-06-30T17:50:51
3;Metrics;16491;Communications Poland productivity;Ergonomic Steel Hat Rubber;Mouse Customer;panel;2020-07-01T02:47:48;57206;2020-07-01T03:45:42;2020-07-01T02:56:27
4;Ball;33052;motivating Mews Turks and Caicos Islands;navigating Gorgeous Plastic Chicken;Division;Security grey synergize;2020-06-30T12:58:26;72643;2020-06-30T15:01:13;2020-06-30T13:04:00
5;quantifying;80796;impactful Health;Table integrate;Bike Upgradable Kids;RAM client-driven;2020-06-30T14:31:30;35852;2020-07-01T00:35:30;2020-06-30T15:43:20
6;relationships Tuna;99408;Sports indigo Berkshire;interfaces copying;Assurance;Cotton sensor Assurance;2020-07-01T00:08:27;15796;2020-06-30T11:29:18;2020-06-30T20:55:16
7;quantify Practical Metal Pants;82943;programming;synergies;Fish;Usability;2020-07-01T07:49:20;34596;2020-07-01T03:31:34;2020-06-30T16:41:00
8;deposit vortals interface;54720;Mount copy;Analyst;Handcrafted;Assistant Alaska;2020-07-01T03:39:43;99455;2020-06-30T21:36:06;2020-06-30T14:54:12
9;systematic Communications Concrete;56884;Auto Loan Account;Causeway Flats;Ports;Kids Yemen;2020-06-30T17:42:21;19435;2020-06-30T21:27:36;2020-06-30T10:21:10
10;Product;33098;Berkshire Granite Savings Account;ROI Developer;Frozen;Senior Portugal bifurcated;2020-07-01T04:56:20;38649;2020-07-01T02:46:08;2020-06-30T17:54:57
